date,open,high,low,close,adjusted,volume,dividend,split,SMA,EMA,MACD_Signal,MACD_Hist,MACD,SlowD,SlowK,RSI,ADX
1999-11-01,93.2500,94.1900,92.1200,92.3700,29.5440,26630600,0.0000,1.0000,,,,,,,,,
1999-11-02,92.7500,94.5000,91.9400,92.5600,29.6048,23174500,0.0000,1.0000,,,,,,,,,
1999-11-03,92.9400,93.5000,91.5000,92.0000,29.4257,22258500,0.0000,1.0000,,,,,,,,,
1999-11-04,92.3100,92.7500,90.3100,91.7500,29.3457,27119700,0.0000,1.0000,,,,,,,,,
1999-11-05,91.8100,92.8700,90.5000,91.5600,29.2850,35083700,0.0000,1.0000,,,,,,,,,
1999-11-08,84.8100,90.7500,84.3700,89.9400,28.7668,121909600,0.0000,1.0000,,,,,,,,,
1999-11-09,89.7500,89.8700,86.4400,88.8700,28.4246,54884900,0.0000,1.0000,,,,,,,,,
1999-11-10,88.1200,89.1200,86.4400,87.1200,27.8648,34692700,0.0000,1.0000,,,,,,,,,
1999-11-11,88.2500,90.4400,88.2500,89.6200,28.6645,34637300,0.0000,1.0000,,,,,,46.0153,47.8019,,
1999-11-12,89.7500,90.0000,87.0600,89.1900,28.5269,24707100,0.0000,1.0000,28.9453,28.9453,,,,49.9665,56.5554,,
1999-11-15,88.2500,88.5000,86.9400,87.0000,27.8265,23540200,0.0000,1.0000,28.7735,28.7419,,,,51.5984,50.4378,25.0233,
1999-11-16,86.9400,87.7500,85.8700,87.3100,27.9256,29582600,0.0000,1.0000,28.6056,28.5935,,,,49.1153,40.3528,27.3510,
1999-11-17,86.4400,87.0600,85.0000,85.0000,27.1868,33409500,0.0000,1.0000,28.3817,28.3377,,,,35.3202,15.1699,21.7581,
1999-11-18,84.9400,85.8100,84.5000,84.9400,27.1676,32246600,0.0000,1.0000,28.1639,28.1249,,,,22.8976,13.1699,21.6304,
1999-11-19,84.4400,86.5600,84.3700,86.0000,27.5066,29113000,0.0000,1.0000,27.9861,28.0125,,,,14.7208,15.8224,29.7238,
1999-11-22,89.6200,90.3700,88.4400,89.8100,28.7252,45298300,0.0000,1.0000,27.9819,28.1421,,,,25.0123,46.0447,50.2448,
1999-11-23,89.2500,91.3700,88.3700,89.6200,28.6645,35393700,0.0000,1.0000,28.0059,28.2371,,,,43.4150,68.3780,49.4447,
1999-11-24,89.5600,92.2500,89.5000,91.6900,29.3265,26885500,0.0000,1.0000,28.1521,28.4352,,,,66.8698,86.1867,57.6143,
1999-11-26,91.6200,93.3700,91.0000,91.1200,29.1442,14257100,0.0000,1.0000,28.2000,28.5641,,,,78.5097,80.9645,54.8999,
1999-11-29,90.1200,92.0600,89.5000,90.1900,28.8468,25730100,0.0000,1.0000,28.2320,28.6155,,,,78.4163,68.0978,50.5800,38.3958
1999-11-30,89.7500,92.8700,89.5600,91.0500,29.1218,32072800,0.0000,1.0000,28.3616,28.7075,,,,68.0208,55.0000,54.2767,35.4160
1999-12-01,91.0600,93.9400,90.8700,93.1900,29.8063,24432100,0.0000,1.0000,28.5496,28.9073,,,,60.2668,57.7027,62.1125,33.5946
1999-12-02,93.0600,95.2500,92.8700,94.8100,30.3245,27736900,0.0000,1.0000,28.8634,29.1650,,,,63.0182,76.3520,66.8858,32.8952
1999-12-03,95.8100,97.1200,95.7300,96.1200,30.7434,32050300,0.0000,1.0000,29.2210,29.4520,,,,73.8330,87.4442,70.2531,33.3857
1999-12-06,95.2500,97.1900,94.7500,95.4400,30.5260,24549100,0.0000,1.0000,29.5229,29.6472,,,,83.0752,85.4296,66.3611,32.7027
